




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.12173881 Released 2024-06-17
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20580)	upload_1 (152)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
vitamin D response element binding (GO:0070644)	3	3	.02	+	 > 100	3.95E-07	4.89E-05
histone H2AXY142 phosphatase activity (GO:0140793)	3	2	.02	+	90.26	1.62E-04	1.22E-02
histone phosphatase activity (GO:0140789)	3	2	.02	+	90.26	1.62E-04	1.21E-02
minor groove of adenine-thymine-rich DNA binding (GO:0003680)	10	5	.07	+	67.70	5.03E-09	7.73E-07
retinoic acid-responsive element binding (GO:0044323)	6	3	.04	+	67.70	7.77E-06	8.76E-04
TFIIB-class transcription factor binding (GO:0001093)	4	2	.03	+	67.70	3.22E-04	2.18E-02
HMG box domain binding (GO:0071837)	13	5	.10	+	52.07	2.52E-08	3.46E-06
RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding (GO:0001162)	8	3	.06	+	50.77	2.15E-05	2.14E-03
estrogen response element binding (GO:0034056)	11	4	.08	+	49.23	9.07E-07	1.09E-04
intronic transcription regulatory region sequence-specific DNA binding (GO:0001161)	11	4	.08	+	49.23	9.07E-07	1.07E-04
nuclear glucocorticoid receptor binding (GO:0035259)	12	3	.09	+	33.85	8.28E-05	7.11E-03
nuclear steroid receptor activity (GO:0003707)	25	6	.18	+	32.49	2.32E-08	3.27E-06
E-box binding (GO:0070888)	59	14	.44	+	32.13	7.81E-18	1.80E-15
nuclear receptor activity (GO:0004879)	59	13	.44	+	29.83	3.49E-16	7.70E-14
ligand-activated transcription factor activity (GO:0098531)	60	13	.44	+	29.34	4.43E-16	9.36E-14
C2H2 zinc finger domain binding (GO:0070742)	14	3	.10	+	29.01	1.35E-04	1.04E-02
