gene-symbol,AD_vs_TF_sig,AD_vs_DBD_sig
ARNT2,False,True
ARX,False,True
AR,False,True
CASZ1,True,True
CC2D1A,False,False
CAMTA2,False,True
EBF3,False,False
EGR3,False,True
ESR2,True,False
GLIS1,False,True
ERG,False,True
HIVEP3,False,True
IKZF1,True,True
KDM5B,False,True
KLF16,False,True
KLF7,False,True
KMT2A,True,False
MEF2C,False,False
MEIS2,True,True
MSX2,False,False
MTF1,True,True
MYT1L,False,True
NCOA1,True,False
NFE2L3,False,False
NFIA,False,False
NFIX,False,False
NR1D1,False,True
NR4A2,True,False
NKX2-2,True,True
OTX1,True,True
PAX5,False,True
PAX6,True,True
PITX1,False,True
RORA,True,False
SMAD4,False,False
SRCAP,False,False
TBX22,False,False
TCF20,False,False
TCF4,False,False
TCF7L2,True,False
TET2,False,False
TFE3,True,True
THRA,False,False
YY1,True,True
VDR,False,False
