gene-symbol,AD_vs_TF_sig,AD_vs_DBD_sig
CASZ1,True,True
IKZF1,True,True
MEIS2,True,True
MTF1,True,True
NKX2-2,True,True
OTX1,True,True
PAX6,True,True
TFE3,True,True
YY1,True,True
ESR2,True,False
KMT2A,True,False
NCOA1,True,False
NR4A2,True,False
RORA,True,False
TCF7L2,True,False
AR,False,True
ARNT2,False,True
ARX,False,True
CAMTA2,False,True
EGR3,False,True
ERG,False,True
GLIS1,False,True
HIVEP3,False,True
KDM5B,False,True
KLF16,False,True
KLF7,False,True
MYT1L,False,True
NR1D1,False,True
PAX5,False,True
PITX1,False,True
