,gene_id,gene,From,Entry,Gene Names (primary),LOEUF,transcript,repressor,activator,sfari
0,ENSG00000137203,TFAP2A,TFAP2A,P05549,TFAP2A,0.334,ENST00000379613,False,True,False
1,ENSG00000008196,TFAP2B,TFAP2B,Q92481,TFAP2B,0.353,ENST00000393655,True,True,False
2,ENSG00000087510,TFAP2C,TFAP2C,Q92754,TFAP2C,0.417,ENST00000201031,True,True,False
3,ENSG00000008197,TFAP2D,TFAP2D,Q7Z6R9,TFAP2D,0.389,ENST00000008391,False,True,False
4,ENSG00000116819,TFAP2E,TFAP2E,Q6VUC0,TFAP2E,1.418,ENST00000373235,False,False,False
5,ENSG00000116017,ARID3A,ARID3A,Q99856,ARID3A,0.442,ENST00000263620,True,False,False
6,ENSG00000179361,ARID3B,ARID3B,Q8IVW6,ARID3B,0.332,ENST00000346246,True,False,False
7,ENSG00000205143,ARID3C,ARID3C,A6NKF2,ARID3C,1.716,ENST00000378909,False,False,False
8,ENSG00000196843,ARID5A,ARID5A,Q03989,ARID5A,0.802,ENST00000357485,True,True,False
9,ENSG00000150347,ARID5B,ARID5B,Q14865,ARID5B,0.211,ENST00000279873,True,False,False
10,ENSG00000117139,KDM5B,KDM5B,Q9UGL1,KDM5B,0.858,ENST00000367265,True,True,True
11,ENSG00000189079,ARID2,ARID2,Q68CP9,ARID2,0.224,ENST00000334344,True,False,True
12,ENSG00000153207,AHCTF1,AHCTF1,Q8WYP5,AHCTF1,0.142,ENST00000648844,True,True,False
13,ENSG00000126705,AHDC1,AHDC1,Q5TGY3,AHDC1,0.168,ENST00000673934,True,False,True
14,ENSG00000106948,AKNA,AKNA,Q7Z591,AKNA,0.631,ENST00000374088,True,False,False
15,ENSG00000116539,ASH1L,ASH1L,Q9NR48,ASH1L,0.104,ENST00000392403,True,False,True
16,ENSG00000173894,CBX2,CBX2,Q14781,CBX2,0.946,ENST00000310942,False,False,False
17,ENSG00000101457,DNTTIP1,DNTTIP1,Q9H147,DNTTIP1,0.673,ENST00000372622,True,False,False
18,ENSG00000104885,DOT1L,DOT1L,Q8TEK3,DOT1L,0.321,ENST00000398665,True,False,False
19,ENSG00000140632,GLYR1,GLYR1,Q49A26,GLYR1,0.397,ENST00000321919,True,False,False
20,ENSG00000137309,HMGA1,HMGA1,P17096,HMGA1,0.435,ENST00000311487,False,True,False
21,ENSG00000149948,HMGA2,HMGA2,P52926,HMGA2,1.688,ENST00000403681,False,True,False
22,ENSG00000025293,PHF20,PHF20,Q9BVI0,PHF20,0.249,ENST00000374012,True,True,False
23,ENSG00000135365,PHF21A,PHF21A,Q96BD5,PHF21A,0.149,ENST00000676320,True,False,True
24,ENSG00000126464,PRR12,PRR12,Q9ULL5,PRR12,0.18,ENST00000418929,True,False,True
25,ENSG00000146285,SCML4,SCML4,Q8N228,SCML4,1.059,ENST00000369020,False,False,False
26,ENSG00000152217,SETBP1,SETBP1,Q9Y6X0,SETBP1,0.143,ENST00000649279,True,False,True
27,ENSG00000080603,SRCAP,SRCAP,Q6ZRS2,SRCAP,0.223,ENST00000262518,True,True,True
28,ENSG00000188070,C11orf95,C11orf95,C9JLR9,ZFTA,1.602,ENST00000433688,False,False,False
29,ENSG00000237765,FAM200B,FAM200B,P0CF97,FAM200B,1.158,ENST00000422728,True,False,False
30,ENSG00000141258,SGSM2,SGSM2,O43147,SGSM2,0.851,ENST00000268989,True,False,False
31,ENSG00000214717,ZBED1,ZBED1,O96006,ZBED1,,,True,False,False
32,ENSG00000177494,ZBED2,ZBED2,Q9BTP6,ZBED2,1.933,ENST00000317012,True,False,False
33,ENSG00000132846,ZBED3,ZBED3,Q96IU2,ZBED3,1.949,ENST00000255198,True,False,False
34,ENSG00000100426,ZBED4,ZBED4,O75132,ZBED4,0.729,ENST00000216268,True,False,False
35,ENSG00000236287,ZBED5,ZBED5,Q49AG3,ZBED5,0.774,ENST00000413761,False,False,False
36,ENSG00000257315,ZBED6,ZBED6,P86452,ZBED6,0.818,ENST00000550078,False,False,False
37,ENSG00000232040,ZBED9,ZBED9,Q6R2W3,SCAND3,0.592,ENST00000452236,True,False,False
38,ENSG00000106546,AHR,AHR,P35869,AHR,0.606,ENST00000242057,True,True,False
39,ENSG00000063438,AHRR,AHRR,A9YTQ3,AHRR,0.897,ENST00000684583,True,False,False
40,ENSG00000143437,ARNT,ARNT,P27540,ARNT,0.387,ENST00000358595,True,True,False
41,ENSG00000172379,ARNT2,ARNT2,Q9HBZ2,ARNT2,0.498,ENST00000303329,True,True,True
42,ENSG00000133794,ARNTL,ARNTL,O00327,BMAL1,0.25,ENST00000403290,True,True,False
43,ENSG00000029153,ARNTL2,ARNTL2,Q8WYA1,BMAL2,0.831,ENST00000266503,True,True,False
44,ENSG00000139352,ASCL1,ASCL1,P50553,ASCL1,0.51,ENST00000266744,True,False,False
45,ENSG00000183734,ASCL2,ASCL2,Q99929,ASCL2,1.962,ENST00000331289,True,False,False
46,ENSG00000176009,ASCL3,ASCL3,Q9NQ33,ASCL3,1.504,ENST00000531618,True,False,False
47,ENSG00000187855,ASCL4,ASCL4,Q6XD76,ASCL4,1.921,ENST00000342331,True,False,False
48,ENSG00000232237,ASCL5,ASCL5,Q7RTU5,ASCL5,1.704,ENST00000449188,False,False,False
49,ENSG00000172238,ATOH1,ATOH1,Q92858,ATOH1,0.767,ENST00000306011,True,False,False
50,ENSG00000179774,ATOH7,ATOH7,Q8N100,ATOH7,1.758,ENST00000373673,True,False,False
51,ENSG00000168874,ATOH8,ATOH8,Q96SQ7,ATOH8,0.794,ENST00000306279,True,False,False
52,ENSG00000180535,BHLHA15,BHLHA15,Q7RTS1,BHLHA15,1.642,ENST00000609256,True,False,False
53,ENSG00000205899,BHLHA9,BHLHA9,Q7RTU4,BHLHA9,1.931,ENST00000391429,True,False,False
54,ENSG00000180828,BHLHE22,BHLHE22,Q8NFJ8,BHLHE22,1.31,ENST00000321870,False,False,False
55,ENSG00000125533,BHLHE23,BHLHE23,Q8NDY6,BHLHE23,1.892,ENST00000612929,False,True,False
56,ENSG00000134107,BHLHE40,BHLHE40,O14503,BHLHE40,0.219,ENST00000256495,True,False,False
57,ENSG00000123095,BHLHE41,BHLHE41,Q9C0J9,BHLHE41,1.219,ENST00000242728,True,False,False
58,ENSG00000250709,CCDC169-SOHLH2,,,,0.723,ENST00000511166,False,True,False
59,ENSG00000134852,CLOCK,CLOCK,O15516,CLOCK,0.496,ENST00000513440,True,False,False
60,ENSG00000116016,EPAS1,EPAS1,Q99814,EPAS1,0.366,ENST00000263734,True,True,False
61,ENSG00000146618,FERD3L,FERD3L,Q96RJ6,FERD3L,1.341,ENST00000275461,False,False,False
62,ENSG00000183733,FIGLA,FIGLA,Q6QHK4,FIGLA,1.279,ENST00000332372,True,False,False
