,uniprotID
0,Q6UWZ7
5,P35869
7,O43823
8,Q9ULX6
12,O00213
13,O95704
14,Q8WW27
17,A6NJG6
21,O00327
23,Q76L83
24,Q9C0F0
25,Q96QE3
28,P18848
29,Q9Y2D1
30,Q99941
31,P18850
34,O43313
35,A0A087WXG3
36,Q8WYA1
37,P25440
38,Q15059
39,O60885
40,Q9NPI1
41,Q9H0E9
42,Q6RI45
46,Q9Y6Y1
47,Q9Y6Y1
48,O94983
49,O94983
51,Q99741
52,Q9BXL8
53,Q00526
55,Q99626
56,O14627
57,P49715
59,P49716
62,Q86WJ1
63,O14647
64,Q8TD26
65,Q3L8U1
66,O96017
69,Q96BA8
72,O43889
73,O43889
74,O43889
75,Q70SY1
76,Q68CJ9
77,Q8TEY5
78,Q92793
81,O43186
82,Q96S65
83,Q96S65
84,Q2NKJ3
85,Q9P0U4
87,P35638
89,O60479
90,Q9Y5R6
94,Q9UBX2
95,Q01094
96,Q14209
97,O00716
98,Q16254
99,Q15329
101,Q9H4W6
107,Q06889
108,Q05215
111,P78545
114,P19419
117,O95163
119,Q09472
120,Q96L91
123,P04626
124,P28715
126,P11308
128,P03372
137,P78545
138,P14921
139,P15036
141,P50549
142,O00321
143,P41162
145,P43268
148,P41161
149,Q01780
150,Q99502
151,O00167
152,Q99504
153,O95677
158,P01100
174,Q12951
176,Q92949
181,Q9UPW0
182,Q08050
183,O15353
184,O15353
185,P32314
186,Q96NZ1
187,Q12778
188,O43524
189,P98177
190,A8MYZ6
191,Q6PIV2
192,Q6PJQ5
204,Q92908
207,Q9NP62
220,Q9UKD1
222,Q9NZI5
223,Q6ISB3
225,Q8TE85
227,O60381
228,Q13547
235,P50747
236,Q16534
244,P31271
246,O43364
247,P31267
250,Q92826
251,P14652
253,P17509
257,P35453
262,Q00613
264,Q4G112
265,Q7Z6Z7
268,Q53TQ3
269,P10914
270,P14316
276,P78413
277,Q6IE81
278,Q9NQC1
279,Q9NQC1
280,O60674
281,Q86VZ6
282,Q9H9V9
283,Q9Y4A0
287,Q9H8E8
288,Q8WYB5
290,Q7LBC6
291,Q9UGL1
292,Q8N371
296,Q9UIH9
299,O43474
300,Q13887
303,O75840
307,Q03164
309,Q8NEZ4
310,Q8NEZ4
311,O14686
312,F8W9S8
313,Q9Y4W2
317,A8MZ59
318,P48742
321,Q8TE12
325,Q6P0Q8
334,O00255
335,Q8IWI9
337,O75030
338,O75030-2
340,Q9HAP2
341,Q9NP71
342,P43246
343,Q9HCI7
344,O14793
347,Q96E29
350,P10242
351,P10243
352,P10244
353,P10244
354,P01106
355,P12524
356,P04198
362,P15172
366,Q96LU7
367,Q9UL68
369,Q9H9S0
370,Q6NSW7
371,P49321
374,Q15788
375,Q15596
378,Q9Y6Q9
379,Q8TD19
387,Q9Y4Z2
389,O94916
393,Q13469
397,Q16621
398,Q14494
399,Q16236
400,Q9Y4A8
404,P19838
405,Q6P4R8
408,Q6KC79
415,O60393
417,Q8IUM7
423,Q96RI1-2
426,P04150
430,P22736
431,P43354
435,Q92570
436,Q92570
445,O60502
453,Q01860
454,Q9Y2J8
455,Q9BTK6
456,Q9Y6F1
462,Q06710
468,O43189
469,Q5T6S3
471,A8MW92
472,A8MW92
473,Q8WWQ0
474,O14813
479,Q6DJT9
480,Q9UM63
481,Q9UPG8
482,O15162
483,Q16633
490,Q06416
494,P37231
496,Q9UBK2
497,Q9UBK2
498,Q86YN6
500,P49593
501,P67775
502,P60510
504,P41743
505,Q05513
506,P78527
507,P78527
508,P55345
509,O60678
510,O14744
511,O75360
513,Q86UA1
520,P17947
521,Q9Y4B4
528,Q9H1K0
532,Q04206
533,Q01201
534,Q01201
537,A0A669KBM4
538,A0A669KBM4
553,Q9H4L4
554,O15047
555,Q9UPS6
556,Q9BYW2
563,Q99717
564,P51531
565,P51532
566,Q92922
567,Q8TAQ2
572,P35716
573,O15370
577,P35713
578,P48431
580,Q06945
581,Q9BT81
582,P57073
585,P48436
590,Q3SY56
592,P0CG40
595,Q8N5J4
596,Q6ZMY3
597,Q9BUD6
598,P36956
599,Q12772
608,P42229
609,P51692
611,P42226
612,A0A024R0Y4
613,Q8IZX4
614,Q9Y6J9
617,Q6SJ96
622,Q9Y458
624,P57082
639,Q8NAT2
645,Q10587
647,Q6N021
651,Q7Z6R9
654,Q14186
655,P19532
656,P19532
659,O14948
664,P10828-2
666,Q96MW7
669,Q04724
670,Q04726
671,P04637
672,Q9H3D4
674,O15350
676,D2CFI5
677,O14545
678,Q96PN7
679,Q9Y4A5
680,Q9Y4A5
682,Q9NPG3
687,P51784
688,Q9UPT9
694,Q9BQA1
695,Q9BQA1
697,P17861-2
701,O15391
702,O75152
705,H0YEM9
708,Q86UP3
709,Q86UP3
712,Q9NS37
714,Q14202
726,P98182
727,Q6N043
730,H3BS19
731,H3BS19
732,H3BS19
734,Q9HCE3
735,Q92610
737,Q9H582
738,Q8N1G0
739,P17040
