,0,1,2,ENST,12,PhyloP,AD,DBD
0,18,55228225,55228226,ENST00000356073,-1,1.153,False,False
1,18,55228226,55228227,ENST00000356073,-1,6.303,False,False
2,18,55228227,55228228,ENST00000356073,-1,8.857,False,False
3,18,55228228,55228229,ENST00000356073,-1,6.303,False,False
4,18,55228229,55228230,ENST00000356073,-1,6.328,False,False
5,18,55228230,55228231,ENST00000356073,-1,5.921,False,False
6,18,55228231,55228232,ENST00000356073,-1,6.328,False,False
7,18,55228232,55228233,ENST00000356073,-1,8.751,False,False
8,18,55228233,55228234,ENST00000356073,-1,0.506,False,False
9,18,55228234,55228235,ENST00000356073,-1,8.857,False,False
10,18,55228235,55228236,ENST00000356073,-1,8.857,False,False
11,18,55228236,55228237,ENST00000356073,-1,8.857,False,False
12,18,55228237,55228238,ENST00000356073,-1,6.303,False,False
13,18,55228238,55228239,ENST00000356073,-1,3.786,False,False
14,18,55228239,55228240,ENST00000356073,-1,6.998,False,False
15,18,55228240,55228241,ENST00000356073,-1,6.328,False,False
16,18,55228241,55228242,ENST00000356073,-1,8.751,False,False
17,18,55228242,55228243,ENST00000356073,-1,0.314,False,False
18,18,55228243,55228244,ENST00000356073,-1,3.706,False,False
19,18,55228244,55228245,ENST00000356073,-1,6.328,False,False
20,18,55228245,55228246,ENST00000356073,-1,-2.2,False,False
21,18,55228246,55228247,ENST00000356073,-1,6.964,False,False
22,18,55228247,55228248,ENST00000356073,-1,0.206,False,False
23,18,55228248,55228249,ENST00000356073,-1,-2.02,False,False
24,18,55228249,55228250,ENST00000356073,-1,8.751,False,False
25,18,55228250,55228251,ENST00000356073,-1,6.827,False,False
26,18,55228251,55228252,ENST00000356073,-1,-3.254,False,False
27,18,55228252,55228253,ENST00000356073,-1,6.328,False,False
28,18,55228253,55228254,ENST00000356073,-1,8.857,False,False
29,18,55228254,55228255,ENST00000356073,-1,0.712,False,False
30,18,55228255,55228256,ENST00000356073,-1,8.857,False,False
31,18,55228256,55228257,ENST00000356073,-1,8.857,False,False
32,18,55228257,55228258,ENST00000356073,-1,8.857,False,False
33,18,55228258,55228259,ENST00000356073,-1,6.303,False,False
34,18,55228259,55228260,ENST00000356073,-1,6.328,False,False
35,18,55228260,55228261,ENST00000356073,-1,-0.998,False,False
36,18,55228261,55228262,ENST00000356073,-1,7.031,False,False
37,18,55228262,55228263,ENST00000356073,-1,8.857,False,False
38,18,55228263,55228264,ENST00000356073,-1,-4.952,False,False
39,18,55228264,55228265,ENST00000356073,-1,8.751,False,False
40,18,55228265,55228266,ENST00000356073,-1,8.751,False,False
41,18,55228266,55228267,ENST00000356073,-1,5.822,False,False
42,18,55228267,55228268,ENST00000356073,-1,6.328,False,False
43,18,55228268,55228269,ENST00000356073,-1,8.751,False,False
44,18,55228269,55228270,ENST00000356073,-1,-13.307,False,False
45,18,55228270,55228271,ENST00000356073,-1,8.751,False,False
46,18,55228271,55228272,ENST00000356073,-1,8.751,False,False
