,name,patient,gnomAD,am_top,am_bottom,variant_sum,gene,start,end,length
3,OTX1_P32242_AD_172-354,67,244,10,10,331,OTX1,172,354,183
5,CAMTA2_O94983_AD_285-468,67,238,10,10,325,CAMTA2,285,468,184
10,MEIS2_O14770_AD_340-477,67,186,10,10,273,MEIS2,340,477,138
1,NCOA1_Q15788_AD_840-1011,47,190,10,10,257,NCOA1,840,1011,172
4,NCOA1_Q15788_AD_1241-1385,48,187,10,10,255,NCOA1,1241,1385,145
8,PAX6_P26367_AD_271-422,42,163,10,10,225,PAX6,271,422,152
0,ERG_P11308_AD_118-261,37,135,10,10,192,ERG,118,261,144
2,CAMTA2_O94983_AD_472-581,41,127,10,10,188,CAMTA2,472,581,110
6,IKZF1_Q13422_AD_284-365,36,113,10,10,169,IKZF1,284,365,82
7,NKX2-2_O95096_AD_220-273,35,86,10,10,141,NKX2-2,220,273,54
11,PITX1_P78337_AD_234-283,23,78,10,10,121,PITX1,234,283,50
13,NR4A2_P43354_AD_1-91,13,81,10,10,114,NR4A2,1,91,91
14,PAX5_Q02548_AD_304-358,15,71,10,10,106,PAX5,304,358,55
12,ERG_P11308_AD_433-479,18,56,10,10,94,ERG,433,479,47
9,NR4A2_P43354_AD_584-598,3,9,10,10,32,NR4A2,584,598,15
