,chr,start,end,PhyloP,P,q
0,11,31806401,31806402,6.331,4.666593803142882e-07,9.58833066803275e-07
1,11,31806402,31806403,8.755,1.7579236139586894e-09,7.853911032338016e-09
2,11,31806403,31806404,6.331,4.666593803142882e-07,9.58833066803275e-07
3,11,31806404,31806405,6.331,4.666593803142882e-07,9.58833066803275e-07
4,11,31806405,31806406,5.917,1.210598133550483e-06,2.0824258613308005e-06
5,11,31806406,31806407,6.331,4.666593803142882e-07,9.58833066803275e-07
6,11,31806407,31806408,8.755,1.7579236139586894e-09,7.853911032338016e-09
7,11,31806408,31806409,8.862,1.374041975012515e-09,7.853911032338016e-09
8,11,31806409,31806410,6.306,4.943106869868354e-07,9.58833066803275e-07
9,11,31806410,31806411,6.331,4.666593803142882e-07,9.58833066803275e-07
10,11,31802703,31802704,8.797,1.5958791472367304e-09,7.853911032338016e-09
11,11,31802704,31802705,6.286,5.176068319505681e-07,9.657475238745897e-07
12,11,31802705,31802706,8.691,2.037042077705715e-09,8.021319631887191e-09
13,11,31802706,31802707,8.797,1.5958791472367304e-09,7.853911032338016e-09
14,11,31802707,31802708,6.261,5.482769649208535e-07,9.930273897490598e-07
15,11,31802708,31802709,6.943,1.1402497875611697e-07,3.5381226651056216e-07
16,11,31802709,31802710,3.656,0.00022080047330188992,0.00030618526513149174
17,11,31802710,31802711,6.259,5.508076964054029e-07,9.958484323238097e-07
18,11,31802711,31802712,6.284,5.199959965335162e-07,9.657475238745897e-07
19,11,31802712,31802713,3.653,0.0002223309890651403,0.0003082416871358758
20,11,31802713,31802714,8.795,1.6032453906900417e-09,7.853911032338016e-09
21,11,31802714,31802715,8.689,2.046444636724674e-09,8.023598118942898e-09
22,11,31802715,31802716,5.729,1.8663796908346695e-06,3.079692805643595e-06
23,11,31802716,31802717,8.689,2.046444636724674e-09,8.023598118942898e-09
24,11,31802717,31802718,6.259,5.508076964054029e-07,9.958484323238097e-07
25,11,31802718,31802719,2.43,0.003715352290971724,0.004699602797043994
26,11,31802719,31802720,6.259,5.508076964054029e-07,9.958484323238097e-07
27,11,31802720,31802721,6.284,5.199959965335162e-07,9.657475238745897e-07
28,11,31802721,31802722,8.689,2.046444636724674e-09,8.023598118942898e-09
29,11,31802722,31802723,6.284,5.199959965335162e-07,9.657475238745897e-07
30,11,31802723,31802724,8.795,1.6032453906900417e-09,7.853911032338016e-09
31,11,31802724,31802725,4.082,8.279421637123345e-05,0.00011890736806809662
32,11,31802725,31802726,8.795,1.6032453906900417e-09,7.853911032338016e-09
33,11,31802726,31802727,6.259,5.508076964054029e-07,9.958484323238097e-07
34,11,31802727,31802728,2.916,0.0012133888504649774,0.0015850523662718728
35,11,31802728,31802729,8.689,2.046444636724674e-09,8.023598118942898e-09
36,11,31802729,31802730,8.689,2.046444636724674e-09,8.023598118942898e-09
37,11,31802730,31802731,7.031,9.31107875467831e-08,3.0673552054762857e-07
38,11,31802731,31802732,8.795,1.6032453906900417e-09,7.853911032338016e-09
39,11,31802732,31802733,3.444,0.0003597493351557423,0.0004880752441164677
40,11,31802733,31802734,2.861,0.001377209468893946,0.0017821686325261224
41,11,31802734,31802735,8.689,2.046444636724674e-09,8.023598118942898e-09
42,11,31802735,31802736,8.795,1.6032453906900417e-09,7.853911032338016e-09
43,11,31802736,31802737,4.941,1.1455129414455362e-05,1.8347646528153523e-05
44,11,31802737,31802738,8.795,1.6032453906900417e-09,7.853911032338016e-09
45,11,31802738,31802739,8.795,1.6032453906900417e-09,7.853911032338016e-09
46,11,31802739,31802740,4.885,1.3031667784523e-05,2.0646570789967465e-05
47,11,31802740,31802741,8.795,1.6032453906900417e-09,7.853911032338016e-09
48,11,31802741,31802742,6.284,5.199959965335162e-07,9.657475238745897e-07
49,11,31802742,31802743,8.689,2.046444636724674e-09,8.023598118942898e-09
50,11,31802743,31802744,6.284,5.199959965335162e-07,9.657475238745897e-07
