,uniprotID,ENST,canonical_uniprot_id_isoform
0,A0A087WUV0,ENST00000425953.6,A0A087WUV0
1,A0AVK6,ENST00000250024.9,A0AVK6
2,A1YPR0,ENST00000535628.6,A1YPR0
3,A2RRD8,ENST00000391781.6,A2RRD8
4,A2RU54,ENST00000339992.4,A2RU54
5,A4D1E1,ENST00000333190.5,A4D1E1
6,A6NCS4,ENST00000325017.4,A6NCS4
7,A6NFI3,ENST00000382252.6,A6NFI3
8,A6NFQ7,ENST00000376650.2,A6NFQ7
9,A6NGD5,ENST00000534327.7,A6NGD5
10,A6NHJ4,ENST00000360311.5,A6NHJ4
11,A6NHT5,ENST00000357878.7,A6NHT5
12,A6NI15,ENST00000281047.4,A6NI15
13,A6NJG6,ENST00000334384.5,A6NJG6
14,A6NJL1,ENST00000586855.7,A6NJL1
15,A6NJT0,ENST00000316333.9,A6NJT0
16,A6NK53,ENST00000391958.6,A6NK53
17,A6NK75,ENST00000357774.9,A6NK75
18,A6NKF2,ENST00000378909.4,A6NKF2
19,A6NLW8,ENST00000554048.3,A6NLW8
20,A6NM28,ENST00000338647.7,A6NM28
21,A6NMT0,ENST00000524983.3,A6NMT0
22,A6NN14,ENST00000601693.2,A6NN14
23,A6NNA5,ENST00000374139.8,A6NNA5
24,A6NP11,ENST00000420713.2,A6NP11
25,A8MQ14,ENST00000591344.2,A8MQ14
26,A8MT65,ENST00000537226.3,A8MT65
27,A8MTJ6,ENST00000428390.3,A8MTJ6
28,A8MTQ0,ENST00000398468.4,A8MTQ0
29,A8MTY0,ENST00000418100.6,A8MTY0
30,A8MUV8,ENST00000456806.3,A8MUV8
31,A8MUZ8,ENST00000400156.4,A8MUZ8
32,A8MXY4,ENST00000596209.4,A8MXY4
33,A8MYZ6,ENST00000641094.2,A8MYZ6
34,B2RXF5,ENST00000342537.8,B2RXF5
35,B4DU55,ENST00000444149.7,B4DU55
36,B4DX44,ENST00000355095.8,B4DX44
37,B4DXR9,ENST00000419098.6,B4DXR9
38,B7Z6K7,ENST00000435989.7,B7Z6K7
39,C9JLR9,ENST00000433688.2,C9JLR9
40,C9JN71,ENST00000547628.2,C9JN71
41,E7ETH6,ENST00000442832.8,E7ETH6
42,E9PGG2,ENST00000419717.3,E9PGG2
43,O00110,ENST00000633214.2,O00110
44,O00358,ENST00000375123.5,O00358
45,O00570,ENST00000330949.3,O00570
46,O14503,ENST00000256495.4,O14503
47,O14529,ENST00000261726.11,O14529
48,O14627,ENST00000373514.3,O14627
49,O14753,ENST00000335987.8,O14753
50,O14813,ENST00000298231.5,O14813
51,O14867,ENST00000286800.8,O14867
52,O14978,ENST00000219069.6,O14978
53,O15060,ENST00000300101.3,O15060
54,O15062,ENST00000307750.5,O15062
55,O15090,ENST00000355537.4,O15090
56,O15209,ENST00000383196.4,O15209
57,O15353,ENST00000226247.2,O15353
58,O15370,ENST00000342665.5,O15370
59,O15391,ENST00000429584.3,O15391
60,O15499,ENST00000086933.3,O15499
61,O15516,ENST00000309964.8,O15516
62,O15522,ENST00000258829.6,O15522
63,O15525,ENST00000357736.9,O15525
64,O43186,ENST00000221996.12,O43186
65,O43248,ENST00000546378.1,O43248
66,O43296,ENST00000263095.10,O43296
67,O43298,ENST00000373457.1,O43298
68,O43361,ENST00000334181.5,O43361
69,O43364,ENST00000222718.7,O43364
70,O43365,ENST00000317201.7,O43365
71,O43623,ENST00000020945.4,O43623
72,O43638,ENST00000375978.5,O43638
73,O43680,ENST00000237316.3,O43680
74,O43711,ENST00000296921.6,O43711
75,O43763,ENST00000233638.8,O43763
76,O43823,ENST00000269701.7,O43823
77,O43829,ENST00000357006.8,O43829
78,O60284,ENST00000276480.11,O60284
79,O60422,ENST00000382349.5,O60422
80,O60479,ENST00000434704.2,O60479
81,O60519,ENST00000228865.3,O60519
82,O60548,ENST00000334793.6,O60548
83,O60675,ENST00000343242.9,O60675
84,O60682,ENST00000325509.5,O60682
85,O60765,ENST00000335815.7,O60765
86,O60806,ENST00000367821.8,O60806
87,O75132,ENST00000216268.6,O75132
88,O75333,ENST00000335385.4,O75333
89,O75360,ENST00000308304.2,O75360
90,O75362,ENST00000302342.3,O75362
91,O75364,ENST00000370002.8,O75364
92,O75373,ENST00000427401.9,O75373
93,O75467,ENST00000196482.4,O75467
94,O75593,ENST00000377317.5,O75593
95,O75603,ENST00000379491.5,O75603
96,O94892,ENST00000221315.10,O94892
97,O95076,ENST00000647563.2,O95076
98,O95096,ENST00000377142.5,O95096
99,O95201,ENST00000219091.9,O95201
100,O95231,ENST00000325980.10,O95231
101,O95343,ENST00000260653.5,O95343
102,O95365,ENST00000322357.9,O95365
103,O95409,ENST00000376335.8,O95409
104,O95416,ENST00000306087.3,O95416
105,O95475,ENST00000327720.6,O95475
106,O95625,ENST00000312938.5,O95625
107,O95863,ENST00000244050.3,O95863
108,O95935,ENST00000369663.10,O95935
109,O95948,ENST00000491143.3,O95948
110,O96004,ENST00000231121.3,O96004
111,O96006,ENST00000381218.8,O96006
112,P04198,ENST00000281043.4,P04198
113,P05412,ENST00000371222.4,P05412
114,P07199,ENST00000379751.5,P07199
115,P09016,ENST00000306324.4,P09016
116,P09017,ENST00000303406.4,P09017
117,P09067,ENST00000239151.6,P09067
118,P09629,ENST00000239165.9,P09629
119,P0C7M4,ENST00000371402.5,P0C7M4
120,P0CB33,ENST00000429565.5,P0CB33
121,P0CF97,ENST00000422728.3,P0CF97
122,P0CG23,ENST00000457543.4,P0CG23
123,P0CG24,ENST00000639662.2,P0CG24
124,P0CG40,ENST00000394967.3,P0CG40
125,P0CH99,ENST00000400085.8,P0CH99
126,P0CI00,ENST00000400120.3,P0CI00
127,P0CJ78,ENST00000568956.2,P0CJ78
128,P0CJ79,ENST00000638862.2,P0CJ79
129,P0DKX0,ENST00000594710.2,P0DKX0
130,P10071,ENST00000395925.8,P10071
131,P10073,ENST00000329665.5,P10073
132,P10074,ENST00000377674.9,P10074
133,P10075,ENST00000340042.2,P10075
134,P10588,ENST00000291442.4,P10588
135,P10589,ENST00000327111.8,P10589
136,P10914,ENST00000245414.9,P10914
137,P11831,ENST00000265354.6,P11831
138,P12755,ENST00000378536.5,P12755
139,P12980,ENST00000264824.5,P12980
140,P13349,ENST00000228644.4,P13349
141,P13682,ENST00000396056.7,P13682
142,P14652,ENST00000330070.6,P14652
143,P15036,ENST00000360214.8,P15036
144,P15172,ENST00000250003.4,P15172
145,P15173,ENST00000241651.5,P15173
146,P17017,ENST00000344099.4,P17017
147,P17019,ENST00000356929.3,P17019
148,P17020,ENST00000276816.8,P17020
149,P17024,ENST00000334213.10,P17024
150,P17026,ENST00000298299.4,P17026
151,P17029,ENST00000324306.11,P17029
152,P17031,ENST00000328654.10,P17031
153,P17032,ENST00000351773.7,P17032
154,P17041,ENST00000374433.7,P17041
155,P17098,ENST00000621650.2,P17098
156,P17275,ENST00000302754.6,P17275
157,P17481,ENST00000239144.5,P17481
158,P17482,ENST00000311177.7,P17482
159,P17483,ENST00000332503.6,P17483
160,P17535,ENST00000252818.5,P17535
161,P18146,ENST00000239938.5,P18146
162,P18848,ENST00000337304.2,P18848
163,P18850,ENST00000367942.4,P18850
164,P19622,ENST00000297375.4,P19622
165,P20264,ENST00000361360.4,P20264
166,P20393,ENST00000246672.4,P20393
167,P20719,ENST00000222726.4,P20719
168,P21506,ENST00000248211.11,P21506
169,P22670,ENST00000254325.9,P22670
170,P23025,ENST00000375128.5,P23025
171,P23409,ENST00000228641.4,P23409
172,P24278,ENST00000394715.1,P24278
173,P25208,ENST00000240055.8,P25208
174,P25490,ENST00000262238.10,P25490
175,P28356,ENST00000249499.8,P28356
176,P28358,ENST00000249501.5,P28358
177,P28360,ENST00000382723.5,P28360
178,P31249,ENST00000249440.4,P31249
179,P31267,ENST00000222728.3,P31267
180,P31268,ENST00000242159.5,P31268
181,P31269,ENST00000343483.7,P31269
182,P31270,ENST00000006015.4,P31270
183,P31271,ENST00000649031.1,P31271
184,P31273,ENST00000040584.6,P31273
185,P31274,ENST00000303450.5,P31274
186,P31275,ENST00000243103.4,P31275
187,P31276,ENST00000243056.5,P31276
188,P31277,ENST00000249504.7,P31277
189,P31629,ENST00000012134.7,P31629
190,P32242,ENST00000282549.7,P32242
191,P35227,ENST00000610440.1,P35227
192,P35453,ENST00000392539.4,P35453
193,P35548,ENST00000239243.7,P35548
194,P35713,ENST00000340356.9,P35713
195,P35716,ENST00000322002.5,P35716
196,P35869,ENST00000242057.9,P35869
197,P40425,ENST00000375050.6,P40425
198,P41212,ENST00000396373.9,P41212
199,P41225,ENST00000370536.5,P41225
200,P41970,ENST00000228741.8,P41970
201,P48431,ENST00000325404.3,P48431
202,P48436,ENST00000245479.3,P48436
203,P48443,ENST00000359842.10,P48443
204,P48742,ENST00000614239.1,P48742
205,P49716,ENST00000408965.4,P49716
206,P49910,ENST00000377325.2,P49910
207,P50222,ENST00000262041.6,P50222
208,P50458,ENST00000373615.9,P50458
209,P50553,ENST00000266744.4,P50553
210,P51504,ENST00000308095.4,P51504
211,P51508,ENST00000338637.13,P51508
212,P51523,ENST00000327668.11,P51523
213,P51692,ENST00000293328.8,P51692
214,P51786,ENST00000377073.4,P51786
215,P52737,ENST00000343979.6,P52737
216,P52746,ENST00000449707.5,P52746
217,P52945,ENST00000381033.5,P52945
218,P52951,ENST00000306318.5,P52951
219,P52954,ENST00000370193.4,P52954
220,P53567,ENST00000284000.9,P53567
221,P55316,ENST00000313071.7,P55316
222,P55318,ENST00000302177.3,P55318
223,P55771,ENST00000361487.7,P55771
224,P56915,ENST00000238558.5,P56915
225,P57071,ENST00000269844.5,P57071
226,P57073,ENST00000293894.4,P57073
227,P58012,ENST00000648323.1,P58012
228,P58304,ENST00000261980.3,P58304
229,P58317,ENST00000320451.7,P58317
230,P59817,ENST00000302097.3,P59817
231,P59923,ENST00000396077.8,P59923
232,P61371,ENST00000230658.12,P61371
233,P62380,ENST00000237264.9,P62380
234,P67809,ENST00000321358.12,P67809
235,P78337,ENST00000265340.12,P78337
236,P78367,ENST00000382438.6,P78367
237,P78412,ENST00000290552.8,P78412
238,P78414,ENST00000302006.4,P78414
239,P78415,ENST00000329734.4,P78415
240,P78426,ENST00000295886.5,P78426
241,P81133,ENST00000262901.4,P81133
242,P86452,ENST00000550078.3,P86452
243,P98168,ENST00000358697.6,P98168
244,P98169,ENST00000374888.3,P98169
245,Q00056,ENST00000360046.10,Q00056
246,Q00403,ENST00000370500.10,Q00403
247,Q00444,ENST00000312492.3,Q00444
248,Q00577,ENST00000331327.5,Q00577
249,Q00978,ENST00000396864.8,Q00978
250,Q01094,ENST00000343380.6,Q01094
251,Q01101,ENST00000310227.3,Q01101
252,Q01201,ENST00000221452.13,Q01201
253,Q01658,ENST00000370267.1,Q01658
254,Q01664,ENST00000204517.11,Q01664
255,Q01954,ENST00000345382.7,Q01954
256,Q02386,ENST00000269973.10,Q02386
257,Q02446,ENST00000222584.8,Q02446
258,Q02556,ENST00000268638.10,Q02556
259,Q02575,ENST00000302101.6,Q02575
260,Q02577,ENST00000320238.3,Q02577
261,Q03014,ENST00000282728.10,Q03014
262,Q03052,ENST00000373012.5,Q03052
263,Q03701,ENST00000234170.10,Q03701
264,Q03828,ENST00000308618.5,Q03828
265,Q03924,ENST00000282869.11,Q03924
266,Q03938,ENST00000418063.3,Q03938
267,Q05066,ENST00000383070.2,Q05066
268,Q05215,ENST00000545030.1,Q05215
269,Q05925,ENST00000295206.7,Q05925
