,0,1,2,3,ENST,5,6,7,8,PhyloP
0,11,31789933,31789934,P26367,ENST00000241001,-,11,31789933,31789934,4.654
1,11,31789934,31789935,P26367,ENST00000241001,-,11,31789934,31789935,4.739
2,11,31789935,31789936,P26367,ENST00000241001,-,11,31789935,31789936,3.661
3,11,31789936,31789937,P26367,ENST00000241001,-,11,31789936,31789937,5.054
4,11,31789937,31789938,P26367,ENST00000241001,-,11,31789937,31789938,4.738
5,11,31789938,31789939,P26367,ENST00000241001,-,11,31789938,31789939,5.851
6,11,31789939,31789940,P26367,ENST00000241001,-,11,31789939,31789940,6.355
7,11,31789940,31789941,P26367,ENST00000241001,-,11,31789940,31789941,3.694
8,11,31789941,31789942,P26367,ENST00000241001,-,11,31789941,31789942,2.928
9,11,31789942,31789943,P26367,ENST00000241001,-,11,31789942,31789943,6.355
10,11,31789943,31789944,P26367,ENST00000241001,-,11,31789943,31789944,7.138
11,11,31789944,31789945,P26367,ENST00000241001,-,11,31789944,31789945,2.413
12,11,31789945,31789946,P26367,ENST00000241001,-,11,31789945,31789946,1.969
13,11,31789946,31789947,P26367,ENST00000241001,-,11,31789946,31789947,8.789
14,11,31789947,31789948,P26367,ENST00000241001,-,11,31789947,31789948,8.789
15,11,31789948,31789949,P26367,ENST00000241001,-,11,31789948,31789949,8.896
16,11,31789949,31789950,P26367,ENST00000241001,-,11,31789949,31789950,7.129
17,11,31789950,31789951,P26367,ENST00000241001,-,11,31789950,31789951,6.331
18,11,31789951,31789952,P26367,ENST00000241001,-,11,31789951,31789952,-0.465
19,11,31789952,31789953,P26367,ENST00000241001,-,11,31789952,31789953,6.357
20,11,31789953,31789954,P26367,ENST00000241001,-,11,31789953,31789954,6.331
21,11,31789954,31789955,P26367,ENST00000241001,-,11,31789954,31789955,1.285
22,11,31789955,31789956,P26367,ENST00000241001,-,11,31789955,31789956,6.357
23,11,31789956,31789957,P26367,ENST00000241001,-,11,31789956,31789957,8.791
24,11,31789957,31789958,P26367,ENST00000241001,-,11,31789957,31789958,1.854
25,11,31789958,31789959,P26367,ENST00000241001,-,11,31789958,31789959,8.791
26,11,31789959,31789960,P26367,ENST00000241001,-,11,31789959,31789960,6.331
27,11,31789960,31789961,P26367,ENST00000241001,-,11,31789960,31789961,8.898
28,11,31789961,31789962,P26367,ENST00000241001,-,11,31789961,31789962,6.331
29,11,31789962,31789963,P26367,ENST00000241001,-,11,31789962,31789963,6.357
30,11,31789963,31789964,P26367,ENST00000241001,-,11,31789963,31789964,0.557
31,11,31789964,31789965,P26367,ENST00000241001,-,11,31789964,31789965,6.357
32,11,31789965,31789966,P26367,ENST00000241001,-,11,31789965,31789966,8.898
33,11,31789966,31789967,P26367,ENST00000241001,-,11,31789966,31789967,0.601
34,11,31789967,31789968,P26367,ENST00000241001,-,11,31789967,31789968,8.791
35,11,31789968,31789969,P26367,ENST00000241001,-,11,31789968,31789969,8.791
36,11,31789969,31789970,P26367,ENST00000241001,-,11,31789969,31789970,1.847
37,11,31789970,31789971,P26367,ENST00000241001,-,11,31789970,31789971,6.357
38,11,31789971,31789972,P26367,ENST00000241001,-,11,31789971,31789972,8.898
39,11,31789972,31789973,P26367,ENST00000241001,-,11,31789972,31789973,2.959
40,11,31789973,31789974,P26367,ENST00000241001,-,11,31789973,31789974,8.898
41,11,31789974,31789975,P26367,ENST00000241001,-,11,31789974,31789975,6.357
42,11,31789975,31789976,P26367,ENST00000241001,-,11,31789975,31789976,1.84
43,11,31789976,31789977,P26367,ENST00000241001,-,11,31789976,31789977,8.878
44,11,31789977,31789978,P26367,ENST00000241001,-,11,31789977,31789978,8.878
45,11,31789978,31789979,P26367,ENST00000241001,-,11,31789978,31789979,-2.888
46,11,31789979,31789980,P26367,ENST00000241001,-,11,31789979,31789980,8.772
47,11,31789980,31789981,P26367,ENST00000241001,-,11,31789980,31789981,8.772
