,Gene,uniprotID,Start,End,curr_list_len,ref_list_len,ref_start,ref_end,Reference
48,CAMTA2,O94983,472,581,110,110,472,581,"DelRosso et al. (O94983, 472_581)"
49,CAMTA2,O94983,285,468,184,184,285,468,"PMID: 16678093, Soto (O94983, 285_468) "
49,CAMTA2,O94983,285,468,184,80,372,451," DelRosso et al. (O94983, 372_451)"
127,ERG,P11308,433,479,47,47,440,486,"PMID: 9681824, Soto (P11308, 440_486)"
128,ERG,P11308,118,261,144,85,125,209,"PMID: 14603248, Soto (P11308, 125_209) "
128,ERG,P11308,118,261,144,120,142,261," DelRosso et al. (P11308, 142_261)"
268,IKZF1,Q13422,284,365,82,82,284,365,"PMID: 8895580, Soto (Q13422, 284_365)"
333,MEIS2,O14770,340,477,138,138,340,477,"activation_regions.txt, GSL (O14770, 340_477)"
334,MEIS2,O14770-4,340,470,131,131,340,470,"PMID: 20553494, Soto (O14770-4, 340_470)"
372,NCOA1,Q15788,840,1011,172,109,840,948,"PMID: 9427757, 9575154, Soto (Q15788, 840_948) "
372,NCOA1,Q15788,840,1011,172,90,922,1011," DelRosso et al. (Q15788-2, 922_1011)"
373,NCOA1,Q15788,1,93,93,93,1,93,"PMID: 9575154, Soto (Q15788, 1_93)"
374,NCOA1,Q15788,1241,1385,145,145,1241,1385,"PMID: 9427757, Soto (Q15788, 1241_1385)"
411,NKX2-2,O95096,220,273,54,54,220,273,"PMID: 10944215, Soto (O95096, 220_273)"
431,NR4A2,P43354,584,598,15,15,584,598,"PMID: 9572393, Soto (P43354, 584_598)"
432,NR4A2,P43354,1,91,91,84,1,84,"PMID: 14672718, Soto (P43354, 1_84) "
432,NR4A2,P43354,1,91,91,90,2,91," DelRosso et al. (P43354, 2_91)"
459,PAX5,Q02548,304,358,55,55,304,358,"PMID: 8617244, Soto (Q02548, 304_358) "
459,PAX5,Q02548,304,358,55,55,304,358," Choi 2000 list, GSL (Q02548, 304_358)"
460,PAX6,P26367,271,422,152,152,271,422,"PMID: 7951315, Soto (P26367, 271_422)"
476,PITX1,P78337,234,283,50,50,234,283,"PMID: 12242290, Soto (P78337, 234_283)"
