query_gene,ortholog_species,ortholog_id,ortholog_type,percent_id
ERG,nomascus_leucogenys,ENSNLEG00000004758,ortholog_one2one,97.7366
ERG,pan_troglodytes,ENSPTRG00000013907,ortholog_one2one,97.9424
ERG,pongo_abelii,ENSPPYG00000011419,ortholog_one2one,97.7366
ERG,pan_paniscus,ENSPPAG00000030567,ortholog_one2one,97.9424
ERG,gorilla_gorilla,ENSGGOG00000011391,ortholog_one2one,97.9424
ERG,ornithorhynchus_anatinus,ENSOANG00000006418,ortholog_one2one,90.4472
ERG,sarcophilus_harrisii,ENSSHAG00000008486,ortholog_one2one,92.0502
ERG,notamacropus_eugenii,ENSMEUG00000012591,ortholog_one2one,76.3713
ERG,dasypus_novemcinctus,ENSDNOG00000015727,ortholog_one2one,96.8685
ERG,choloepus_hoffmanni,ENSCHOG00000009445,ortholog_one2one,94.617
ERG,echinops_telfairi,ENSETEG00000015901,ortholog_one2one,91.3319
ERG,callithrix_jacchus,ENSCJAG00000008119,ortholog_one2one,97.5309
ERG,cercocebus_atys,ENSCATG00000045169,ortholog_one2one,97.9424
ERG,macaca_fascicularis,ENSMFAG00000031991,ortholog_one2one,97.9424
ERG,macaca_mulatta,ENSMMUG00000010296,ortholog_one2one,97.9424
ERG,macaca_nemestrina,ENSMNEG00000028447,ortholog_one2one,97.9424
ERG,papio_anubis,ENSPANG00000019227,ortholog_one2one,97.9424
ERG,mandrillus_leucophaeus,ENSMLEG00000033749,ortholog_one2one,97.9424
ERG,mus_spretus,ENSMSPG00010020869,ortholog_one2one,95.0617
ERG,vombatus_ursinus,ENSVURG00010005031,ortholog_one2one,92.2594
ERG,panthera_leo,ENSPLOG00000011044,ortholog_one2one,85.2
ERG,ochotona_princeps,ENSOPRG00000009095,ortholog_one2one,86.6255
ERG,bos_taurus,ENSBTAG00000011001,ortholog_one2one,92.4152
ERG,jaculus_jaculus,ENSJJAG00000024273,ortholog_one2one,96.2963
ERG,ursus_americanus,ENSUAMG00000012362,ortholog_one2one,91.9492
ERG,panthera_pardus,ENSPPRG00000006437,ortholog_one2one,95.0617
ERG,ovis_aries,ENSOARG00020060928,ortholog_one2one,95.4733
ERG,urocitellus_parryii,ENSUPAG00010020197,ortholog_one2one,97.1193
ERG,felis_catus,ENSFCTG00005019759,ortholog_one2one,89.3204
ERG,balaenoptera_musculus,ENSBMSG00010004899,ortholog_one2one,95.0617
ERG,pteropus_vampyrus,ENSPVAG00000014957,ortholog_one2one,84.6645
ERG,octodon_degus,ENSODEG00000011796,ortholog_one2one,95.4733
ERG,ailuropoda_melanoleuca,ENSAMEG00000016610,ortholog_one2one,97.4948
ERG,mesocricetus_auratus,ENSMAUG00000012151,ortholog_one2one,86.3326
ERG,bison_bison_bison,ENSBBBG00000017681,ortholog_one2one,95.2675
ERG,oryctolagus_cuniculus,ENSOCUG00000000104,ortholog_one2one,84.4037
ERG,vulpes_vulpes,ENSVVUG00000024490,ortholog_one2one,94.6939
ERG,phocoena_sinus,ENSPSNG00000003229,ortholog_one2one,95.4733
ERG,otolemur_garnettii,ENSOGAG00000000044,ortholog_one2one,94.7047
ERG,mus_pahari,MGP_PahariEiJ_G0016700,ortholog_one2one,95.679
ERG,carlito_syrichta,ENSTSYG00000000636,ortholog_one2one,96.9072
ERG,capra_hircus,ENSCHIG00000011764,ortholog_one2one,94.2387
ERG,monodon_monoceros,ENSMMNG00015004343,ortholog_one2one,95.4733
ERG,catagonus_wagneri,ENSCWAG00000009993,ortholog_one2one,94.0452
ERG,rhinopithecus_roxellana,ENSRROG00000036615,ortholog_one2one,97.7366
ERG,delphinapterus_leucas,ENSDLEG00000019992,ortholog_one2one,95.4733
ERG,canis_lupus_dingo,ENSCAFG00020024360,ortholog_one2one,91.8812
ERG,tursiops_truncatus,ENSTTRG00000015358,ortholog_one2one,95.0413
ERG,bos_mutus,ENSBMUG00000005173,ortholog_one2one,95.2675
ERG,rattus_norvegicus,ENSRNOG00000001652,ortholog_one2one,95.4733
ERG,canis_lupus_familiaris,ENSCAFG00845029042,ortholog_one2one,92.2465
ERG,myotis_lucifugus,ENSMLUG00000009355,ortholog_one2one,95.6067
ERG,mus_musculus,ENSMUSG00000040732,ortholog_one2one,95.0617
ERG,cricetulus_griseus_picr,ENSCGRG00015016226,ortholog_one2one,97.9123
ERG,sciurus_vulgaris,ENSSVLG00005018996,ortholog_one2one,95.679
ERG,microcebus_murinus,ENSMICG00000003196,ortholog_one2one,95.4733
ERG,phascolarctos_cinereus,ENSPCIG00000022944,ortholog_one2one,92.9825
ERG,prolemur_simus,ENSPSMG00000010141,ortholog_one2one,94.856
ERG,loxodonta_africana,ENSLAFG00000005455,ortholog_one2one,96.0905
